usim	latitude	longitude
01231300087	34.94	127.685
01231307498	35.684	127.916
01231321662	37.603	126.657
01231300077	34.944	127.534
01231316275	37.581	126.926
01231300402	37.556	126.976
01231308399	35.36	127.146
01231307227	35.689	127.909
01227728358	37.593	127.001
01231300173	36.478	127.704
01231322535	37.443	129.176
01231300468	37.535	126.997
01231300372	37.534	126.96
01231307833	35.102	129.021
01227587455	36.671	129.099
01231300327	37.548	127.108
01231300394	37.61	127.005
01231321672	37.514	127.062
01231315802	35.839	126.905
01227587583	34.979	127.483
01227588045	34.757	127.709
01231322504	37.566	126.994
01231321586	37.634	127.213
01231300070	37.61	127.077
01231321777	37.515	127.065
01231300065	34.755	127.725
01231308031	35.114	129.036
01231300027	34.739	127.743
01231307551	35.092	129.065
01231307989	35.423	127.62
01231308087	35.76	127.599
01231321781	37.498	126.985
01231322256	37.489	129.109
01231308237	35.464	127.438
01231308327	35.439	127.38
01231300389	37.536	127.082
01231322341	37.491	127.987
01231300031	37.588	127.017
01231300425	37.547	126.971
01231315755	35.727	127.229
01231316488	37.561	126.802
01231322521	37.883	128.825
01231316454	37.581	126.906
01231316159	37.572	126.805
01231322583	37.564	126.903
01231316516	37.517	126.894
01231315787	35.862	127.25
01231316455	37.568	126.841
01231322190	37.803	128.901
01231316417	37.514	126.882
01231300239	37.53	127.12
01231300418	37.481	126.997
01231300521	37.516	127.113
01231307639	35.933	127.123
01227587255	34.771	127.074
01231322551	37.761	128.901
01231300180	37.476	126.981
01231316494	37.571	126.961
01231307204	35.523	127.728
01231322511	38.204	128.591
01231316389	37.55	126.865
01231307371	35.728	128.115
01231322475	37.756	128.912
01231307382	35.19	128.195
01231300055	37.618	126.921
01231322608	37.555	129.117
01231316301	37.557	126.86
01231300328	37.602	127.079
01231322236	38.208	127.217
01231306809	35.182	127.613
01231322464	37.765	128.876
01231322477	37.21	127.891
01231322893	37.527	127.04
01231322465	38.078	128.624
01231322604	37.512	128.213
01227587871	34.677	126.919
01231300269	36.809	127.788
01231322517	38.078	128.624
01231307890	35.099	129.027
01231300024	35.317	126.983
01231308115	35.721	126.743
01231316244	37.462	126.641
01231308171	35.721	126.743
01231316299	37.382	126.656
01231322456	37.278	127.909
01231308202	35.099	129.03
01231322447	37.325	127.94
01231322373	37.714	128.827
01231300103	36.808	127.079
01231300332	37.568	126.979
01231322225	37.183	128.467
01231321964	38.509	128.42
01231322609	37.445	129.168
01231321587	37.49	126.729
01227588029	37.571	127.083
01231322369	37.669	128.597
01231321696	37.504	126.73
01231321771	37.485	127.012
01231321775	37.504	126.73
01231321596	37.504	126.73
01231321473	37.504	126.73
01227587953	35.172	126.861
01227587690	37.72	127.185
01231300204	36.877	127.149
01231307540	35.222	129.153
01231322537	37.637	128.558
01227587378	33.227	126.26
01227587916	37.657	127.176
01231321637	37.55	126.834
01231307538	34.938	127.875
01231321784	37.55	126.834
01231321661	37.55	126.834
01231307697	35.1	128.982
01231300114	36.808	127.079
01231300211	37.292	127.007
01231307335	35.198	129.131
01231321774	37.479	127.008
01231322478	37.274	128.268
01231322492	37.873	128.26
01231322662	37.387	126.936
01231322020	37.387	126.936
01231322493	37.253	127.02
01231322675	37.274	127.105
01231322652	37.253	127.02
01231322991	37.356	126.947
01231315353	35.912	127.066
01231322482	38.219	128.369
01231307444	35.184	129.204
01231315801	35.936	127.168
01231300350	37.116	127.615
01231300255	37.64	127.112
01231308132	35.435	126.713
01231308182	35.167	129.179
01227588020	35.215	127.454
01231321656	37.466	127.043
01231300383	36.796	127.619
01231321758	37.466	127.043
01231307949	35.435	126.713
01231321666	37.466	127.043
01231321648	37.466	127.043
01231321535	37.247	128.096
01227588034	34.828	126.693
01231322316	38.074	128.619
01231315513	36.026	127.261
01227588084	34.571	126.602
01231300059	37.584	126.909
01227587462	36.701	129.129
01231321692	37.494	127.077
01227587908	34.569	126.598
01231307610	35.158	129.116
01231322659	37.161	127.033
01227587980	34.484	126.264
01231300254	36.726	127.535
01231300355	37.279	127.45
01227587759	36.567	128.178
01227587944	34.644	126.787
01231300050	37.615	126.834
01231308189	35.224	129.091
01231307529	35.161	129.183
01231308156	35.648	126.941
01231308125	35.158	129.116
01231300544	36.712	127.529
01231321729	37.481	126.876
01231308096	35.224	129.081
01231300315	37.279	127.45
01227728213	34.637	126.768
01227587724	34.452	126.619
01231307741	35.415	129.172
01231321705	37.474	126.89
01231300207	37.279	127.45
01227588035	34.44	126.359
01231300054	35.281	127.287
01227587590	36.521	129.038
01231321877	37.466	126.898
01231307433	35.25	129.056
01231300466	36.675	127.472
01227728263	34.679	126.908
01231322695	37.238	129.045
01231300047	34.987	126.471
01231322488	38.213	128.59
01231321698	37.503	127.066
01231322698	37.199	127.095
01231322457	37.131	126.922
01231307162	35.136	129.066
01231300280	37.293	127.419
01231316260	37.481	126.803
01227587933	37.293	127.419
01231321747	37.482	126.928
01231316136	37.481	126.803
01231322473	37.13	126.909
01231321654	37.481	126.803
01231322536	37.274	127.105
01231300015	35.317	127.459
01231322476	37.274	127.105
01231308303	35.81	126.887
01231300384	37.38	127.115
01231321905	37.477	126.933
01231322525	37.274	127.105
01231321135	37.483	127.06
01231308213	35.81	126.887
01231300213	37.068	127.872
01231321567	37.621	126.711
01231320944	37.621	126.711
01231321602	37.477	126.885
01231321727	37.437	126.845
01231307548	35.187	129.121
01231307328	35.611	129.149
01231307161	35.641	129.159
01231307228	35.192	129.13
01227587506	35.833	128.509
01231307571	35.707	129.188
01227587618	35.84	128.545
01227587318	35.842	128.5
01227587967	35.871	128.496
01227587985	35.84	128.545
01227500429	35.862	128.459
01231307163	35.562	129.187
01227587214	35.827	128.454
01227587912	35.779	128.431
01231307384	35.466	129.218
01231307581	35.614	129.067
01227587665	35.73	128.451
01231322558	37.253	127.02
01231322166	37.253	127.02
01227716555	37.379	126.975
01231322941	37.349	126.972
01231322972	37.327	126.959
01227509548	37.327	126.959
01231315983	37.36	127.315
01231300374	37.208	126.812
01231322704	37.887	127.749
01231316326	37.36	127.315
01231300413	37.554	127.154
01231300318	37.516	127.02
01231322169	35.887	128.611
01231322140	35.887	128.611
01231322244	35.887	128.611
01231322154	35.887	128.611
01231322229	35.887	128.611
01231322048	35.887	128.611
01231307028	35.208	129.037
01231322112	35.887	128.611
01231321998	35.887	128.611
01231322201	35.887	128.611
01231322047	35.887	128.611
01231322157	37.885	127.747
01231322252	35.887	128.611
01231321749	35.887	128.611
01231322159	35.887	128.611
01231322052	35.887	128.611
01231321851	35.887	128.611
01231321925	35.887	128.611
01231322109	35.887	128.611
01231300352	37.208	126.812
01231316249	37.225	127.311
01231322197	35.887	128.611
01231322259	35.887	128.611
01231322059	35.887	128.611
01231322214	35.887	128.611
01231321970	35.887	128.611
01231322134	35.887	128.611
01231322249	35.887	128.611
01231321560	35.887	128.611
01231322311	37.344	127.928
01227587960	34.811	126.396
01231307543	35.194	128.988
01231300165	36.611	127.326
01231322664	37.873	127.752
01231300209	36.985	128.369
01231307718	35.335	129.038
01227587862	34.802	126.405
01231322467	37.606	128.433
01231307229	35.185	128.991
01231321391	37.606	128.433
01231300296	37.547	126.931
01231307069	35.358	129.04
01231323046	37.128	127.012
01231307404	35.377	129.047
01227729172	34.485	126.279
01231322569	37.448	128.668
01227729186	37.544	126.951
01231300235	37.561	127.065
01231300406	37.161	126.908
01231300267	37.569	127.069
01227587028	34.801	126.428
01231300290	37.536	127.083
01231316265	37.629	127.025
01231307747	35.211	129.017
01227728394	37.579	127.074
01231323057	37.085	127.447
01231307389	35.315	129.004
01231307885	35.249	129.013
01231308121	35.208	129.01
01231307663	35.372	128.9
01231307411	35.344	129.035
01231321597	37.518	127.038
01231322404	36.99	127.26
01231315797	37.421	126.65
01231307531	35.263	129.015
01231322526	37.543	127.324
01231307900	35.929	126.956
01231307724	35.343	129.067
01231307683	37.425	126.669
01231321881	37.518	127.038
01231316280	37.292	127.007
01231321838	37.518	127.038
01231321420	37.518	127.038
01231307711	35.373	129.15
01231308173	35.241	129.014
01231321825	37.548	127.706
01231322580	37.367	128.395
01231307742	35.428	129.148
01231300044	37.572	127.056
01231322274	37.488	127.982
01231300016	36.961	126.855
01231322481	37.026	126.794
01231321409	37.418	126.678
01231307826	35.21	129.01
01231307721	35.443	129.059
01231316297	37.451	126.719
01231316229	37.451	126.719
01231322962	37.125	127.442
01231307633	35.57	129.238
01231307933	35.262	128.629
01231322549	37.86	127.719
01231316292	37.307	127.0
01231322531	37.86	127.719
01231300312	37.194	127.059
01231321740	37.484	126.984
01231322954	37.358	126.932
01231316393	37.451	126.719
01231307700	35.213	129.024
01231321860	37.484	126.984
01231316351	37.451	126.719
01227587855	34.979	126.454
01231321878	37.484	126.984
01231316394	37.583	126.891
01231321805	37.484	126.984
01231316209	37.394	126.923
01231320837	37.395	126.651
01231300219	37.194	127.059
01231322422	37.414	127.3
01231307998	35.205	128.996
01231316191	37.394	126.923
01232970089	37.194	127.059
01231300094	34.81	126.761
01231307655	35.26	128.632
01231300287	36.989	126.927
01227588079	36.989	126.927
01231300313	37.058	127.058
01231300392	37.058	127.058
01231300455	37.058	127.058
01231321346	37.689	126.599
01231300472	37.161	127.071
01231300078	37.161	127.033
01231300409	37.161	127.033
01227587900	37.161	127.033
01227723596	35.036	126.804
01227587961	35.148	126.85
01231316464	37.856	126.784
01231323047	37.235	126.872
01227728328	37.576	126.985
01227587290	35.879	128.545
01231316152	37.82	126.985
01231307788	35.226	128.677
01231307733	35.226	128.677
01227588015	34.812	126.445
01231316381	37.566	126.985
01231307691	35.567	128.165
01227587282	35.931	128.548
01231300400	37.575	126.973
01231321895	37.485	126.936
01231307417	35.594	127.926
01231322391	36.993	127.086
01231300125	37.535	127.132
01231300457	37.557	126.955
01231307398	35.277	128.405
01231322534	38.127	128.218
01231300229	37.433	126.997
01231321887	37.512	126.954
01227728227	37.547	126.924
01231300224	36.915	127.639
01231316480	37.225	127.311
01227587897	34.744	126.47
01231323040	37.219	126.948
01231308145	35.171	128.954
01231300090	37.588	127.079
01231300088	37.598	127.1
01231321664	37.502	126.947
01231300091	37.606	127.094
01231300377	37.588	127.096
01231300429	37.451	127.001
01231316430	37.484	126.971
01227587422	36.021	129.352
01231307882	35.436	128.587
01231307463	35.391	128.483
01231322344	37.933	128.063
01231307589	35.549	128.624
01231307649	35.538	128.494
01231308195	35.944	126.948
01231322418	37.558	126.959
01231322483	38.196	128.576
01231316395	38.101	127.075
01231307708	35.485	128.756
01231321932	37.476	126.966
01231322571	37.42	128.042
01231322479	37.77	127.968
01231322416	37.681	127.877
01231307653	35.456	128.85
01231316148	37.492	126.896
01231321821	37.514	126.944
01231322667	37.971	128.08
01231316415	37.564	127.063
01231321538	37.741	126.491
01231315956	37.492	126.823
01231321812	37.475	126.667
01231321711	37.475	126.667
01231316300	37.908	127.054
01231321475	37.475	126.667
01231307488	35.826	127.113
01231308036	35.826	127.113
01231322905	37.626	127.032
01231322791	37.626	127.032
01227501238	37.586	127.037
01231322469	37.586	127.037
01231300134	37.586	127.037
01231323000	37.586	127.037
01231322996	37.574	126.997
01231322984	37.574	126.997
01231300262	37.574	126.997
01231300310	37.574	126.997
01231300341	37.574	126.997
01231322843	37.574	126.997
01227721278	37.565	126.929
01227587489	36.12	128.352
01231322414	37.565	126.929
01231323004	37.565	126.929
01231322981	37.565	126.929
01227587360	36.12	128.352
01231322903	37.588	126.942
01231322729	37.588	126.942
01231322861	37.588	126.942
01231300342	37.58	126.888
01231322757	37.556	127.014
01231322944	37.556	127.014
01231322106	37.556	127.014
01231316360	37.657	126.832
01231307714	35.203	128.57
01227729678	35.156	126.867
01227588031	35.081	126.832
01231308309	35.95	127.661
01231316293	37.485	126.717
01227587354	35.121	126.882
01231308276	35.95	127.661
01231321682	37.432	127.168
01231300196	37.519	126.781
01227588043	35.124	126.87
01231307776	35.049	127.787
01231300025	37.008	127.263
01231307525	35.049	127.787
01231300265	37.519	126.781
01227587194	35.15	126.916
01231323008	37.477	127.187
01231321331	37.437	127.144
01231300183	35.015	126.711
01231300273	37.008	127.263
01231321744	37.527	126.919
01231300258	37.522	126.778
01227587739	35.147	126.937
01231308347	35.734	127.588
01231307490	34.754	127.996
01227587847	35.169	126.932
01231300029	34.94	127.685
01231323064	37.547	127.198
01231322844	37.547	127.198
01227587499	33.458	126.317
01231322470	37.547	127.198
01231307913	37.504	126.795
01231322999	37.547	127.198
01227587866	37.497	127.234
01227587926	34.497	126.26
01231300206	37.435	127.005
01231300335	37.504	126.795
01231316161	37.175	127.111
01227587882	37.504	126.795
01231316479	37.175	127.111
01231307632	34.864	127.891
01231307549	34.864	127.891
01231307532	34.896	128.454
01231321588	37.466	127.126
01231320793	37.466	127.126
01227729653	35.135	126.894
01231321839	37.466	127.126
01231321114	37.466	127.126
01231321875	37.466	127.126
01227587763	35.152	126.93
01231300223	37.444	127.008
01231316460	37.175	127.111
01227587907	33.46	126.413
01231316402	37.506	126.741
01231307608	34.881	128.418
01231321507	37.525	126.91
01231321836	37.5	126.91
01231300096	35.136	126.919
01231316436	37.481	126.882
01231300004	37.536	126.895
01231316004	37.52	126.675
01231307568	34.857	128.429
01227587848	33.422	126.491
01231316530	37.508	126.72
01231315934	37.52	126.675
01231321843	37.492	126.895
01231307559	34.844	128.424
01231300099	35.105	126.492
01227727979	33.491	126.595
01227587737	36.149	128.31
01231321903	37.499	126.896
01227587901	35.146	126.918
01231307291	35.273	127.903
01231307617	34.838	128.411
01227587844	35.21	126.88
01231307530	34.826	128.403
01227729425	33.548	126.751
01231307409	35.175	128.954
01227587887	35.15	126.866
01231307577	34.827	128.419
01231300140	35.025	126.568
01231321699	37.519	126.931
01227728192	35.14	126.858
01227587949	33.523	126.848
01231321429	37.502	126.762
01231307590	35.569	128.162
01227587782	36.054	128.343
01231322878	37.328	126.793
01231300203	37.328	126.793
01231322668	37.305	126.859
01231300306	37.305	126.859
01231321446	37.482	126.65
01231321544	37.438	126.677
01231308151	35.615	127.287
01231300347	37.293	127.009
01231323049	37.402	126.91
01231322527	37.327	126.958
01227587818	33.497	126.554
01227587815	33.497	126.554
01231307892	35.244	129.092
01227587407	35.835	129.286
01227587927	35.018	126.711
01231308172	35.244	129.092
01231300074	35.127	126.907
01227723518	35.127	126.907
01231308199	35.417	127.38
01231308186	35.244	129.092
01231308178	35.417	127.38
01231321536	37.498	126.776
01227587950	35.844	129.233
01227587678	35.994	129.404
01227587920	35.994	129.404
01227588005	33.509	126.535
01227587891	33.509	126.535
01231308158	35.362	127.093
01227728122	34.8	126.416
01231321683	37.601	126.72
01227587913	36.082	129.391
01227587670	35.844	129.233
01227587973	36.082	129.391
01227587990	35.196	126.566
01231307937	35.196	129.103
01231307750	35.203	128.57
01231321530	37.76	126.776
01231321459	37.645	126.785
01231321430	37.77	126.778
01227588040	34.804	126.376
01227587444	34.804	126.396
01231322491	37.335	127.949
01231322452	37.335	127.949
01231300390	37.677	127.055
01221321521	37.743	126.808
01231321410	37.368	126.811
01231300433	37.491	127.007
01231316328	37.655	127.299
01231300257	37.508	126.72
01227724303	35.054	126.985
01227587778	36.128	128.115
01231316200	37.655	127.299
01231307273	35.159	128.977
01231307817	35.159	128.977
01231300487	37.566	126.985
01231307965	35.072	128.983
01231315609	36.201	127.092
01231315829	36.201	127.092
01231307340	35.086	129.005
01227587605	36.13	128.182
01227586971	34.946	126.976
01231307596	35.147	128.986
01231316448	37.547	127.198
01231307916	35.147	128.986
01231316335	37.547	127.198
01231316346	37.547	127.198
01231307434	35.19	128.116
01231315963	36.284	126.92
01231316461	37.533	126.902
01231316132	37.724	126.717
01231321243	37.257	126.586
01231321506	37.257	126.586
01231300311	37.552	127.088
01227587859	37.395	127.238
01231316158	37.393	127.238
01231307636	34.874	128.629
01231316485	37.393	127.238
01231322644	37.255	127.061
01231307348	34.874	128.629
01231300343	37.49	127.477
01227721622	37.49	127.477
01231322658	38.035	127.366
01231322284	37.803	127.084
01231322589	37.803	127.084
01231322546	37.853	126.808
01231322688	37.853	126.808
01231315834	36.353	127.33
01231315882	36.353	127.33
01231322623	37.744	126.81
01231322699	37.744	126.81
01231321985	37.707	126.731
01231322575	37.707	126.731
01231308098	35.088	129.038
01231307233	35.088	129.038
01231307422	34.874	128.69
01231307616	34.874	128.69
01231315792	36.434	127.387
01231315992	36.434	127.387
01227587893	35.365	126.808
01231300021	35.405	126.884
01231307489	35.515	128.874
01227587719	35.406	126.486
01231307936	35.126	128.973
01231308175	35.132	128.965
01231321658	37.536	126.828
01231307963	35.87	127.136
01231315862	36.567	127.285
01231308231	35.87	127.136
01231300453	37.531	127.008
01231300431	37.593	127.093
01231316353	37.324	127.095
01231315985	36.992	127.593
01231316368	37.324	127.095
01231300139	37.586	127.029
01231321633	37.366	127.142
01231316107	37.324	127.095
01231315918	36.916	127.553
01231300012	35.159	126.9
01231315821	36.567	127.285
01231315743	36.464	127.279
01231300474	37.619	127.083
01231315842	36.854	127.43
01231315810	36.854	127.43
01231315780	36.783	127.588
01227587946	33.266	126.419
01227588074	35.161	126.919
01231315987	36.478	127.305
01231308174	35.798	127.141
01231322779	37.272	127.047
01231300250	37.272	127.047
01231308212	35.798	127.141
01231316457	37.272	127.047
01231315897	36.478	127.305
01231321292	37.454	126.605
01227587532	36.285	128.955
01231316406	37.236	127.19
01227587880	33.252	126.538
01231316308	37.236	127.19
01231322950	37.397	126.974
01231315968	36.52	127.244
01231321615	37.311	126.759
01231322805	37.387	126.936
01231315902	36.52	127.244
01227728160	35.15	126.915
01231322651	37.266	127.081
01231321371	37.451	126.656
01231300276	37.592	127.016
01231322811	37.635	126.832
01231322544	37.27	127.01
01231307524	35.174	128.989
01231322508	37.263	127.025
01231322368	37.293	127.031
01231306835	35.143	129.074
01231307887	35.174	129.128
01231300062	37.557	126.972
01227587554	37.57	127.009
01231322877	37.677	126.797
01231316343	37.516	126.929
01231316423	37.677	126.797
01231323011	37.677	126.797
01231307629	35.206	129.081
01231316447	37.509	126.963
01227588065	34.764	127.664
01231322712	37.272	127.047
01231322672	37.272	127.047
01231307723	35.192	128.074
01231307585	35.192	128.074
01231307573	34.888	128.622
01231300256	36.625	127.5
01231307441	35.205	129.074
01231307699	35.205	129.074
01231307472	35.205	129.074
01227587976	34.936	127.703
01231300371	36.625	127.5
01231316439	37.583	126.911
01231307505	34.892	128.61
01231307947	35.17	129.175
01227713007	34.955	127.486
01231307346	35.133	129.076
01231315650	36.634	127.463
01231300009	34.644	126.787
01231321017	37.432	126.793
01231307383	35.168	129.178
01231321525	37.618	126.843
01231322876	37.65	126.89
01231307515	35.177	129.175
01231307554	35.113	129.082
01231322967	37.65	126.89
01227728323	34.366	126.725
01231307506	35.117	129.095
01227722260	37.623	126.833
01231307564	35.119	129.111
01231308169	35.149	128.7
01231315925	36.633	127.446
01231315696	36.633	127.446
01231322490	37.351	126.954
01231322964	37.409	126.911
01227721731	37.37	126.943
01231316003	36.348	126.608
01231316002	36.348	126.608
01231308328	35.945	126.557
01231308120	35.959	126.769
