usim	TF
01231315762 (517)	100
01231315770 (518)	235.6436552
01231315826 (519)	100
01231307620 (520)	199.4070988
01227587159 (522)	287.3364632
01231308080 (524)	100
01227588050 (525)	174.4154191
01231300272 (526)	100
01231321559 (527)	194.6461091
01231315819 (528)	100
01231321549 (529)	100
01227587347 (530)	185.4425555
01227587530 (531)	259.3765011
01231307705 (532)	292.7172004
01231307523 (533)	248.1461112
01231307794 (534)	145.9514014
01231307574 (535)	233.6566055
01231300524 (536)	100
01231315891 (537)	100
01231315662 (538)	100
01231315844 (539)	100
01231315702 (540)	173.2744306
01227587649 (541)	100
01231307306 (542)	219.8463628
01231315771 (543)	100
01231315856 (544)	304.4937005
01231315587 (545)	100
01231315667 (546)	100
01231321626 (547)	100
01231321527 (548)	100
01227728360 (549)	287.3364632
01231315814 (550)	176.4256026
01231321636 (551)	100
01231321526 (552)	100
01231308323 (553)	100
01227588060 (554)	100
01231307560 (555)	100
01227587156 (556)	169.1865128
01231315756 (557)	100
01227728961 (558)	274.7102608
01227587584 (559)	100
01231307584 (560)	100
01231308368 (561)	100
01231308164 (562)	100
01231321254 (563)	238.0192492
01231307927 (564)	168.3345407
01231300034 (565)	203.785257
01231307958 (566)	121.5392744
01231307619 (567)	200.1633752
01227587878 (568)	100
01227587534 (569)	245.4781531
01231308314 (570)	257.1855354
01231307910 (571)	185.4425555
01231308075 (573)	133.7986556
01231308176 (574)	292.6751899
01231308226 (575)	100
01231307456 (576)	281.2582473
01231321676 (577)	100
01231307570 (578)	100
01231321460 (579)	208.5171111
01231308316 (580)	100
01227587754 (581)	267.4852409
01231308354 (582)	100
01231308317 (583)	100
01231307864 (584)	100
01231308356 (585)	189.6274171
01231307419 (586)	100
01231315857 (587)	259.0457698
01231308211 (588)	100
01231308200 (589)	321.802492
01231308406 (590)	100
01231315739 (591)	100
01231315859 (592)	100
01227587349 (593)	100
01231315634 (594)	100
01231300446 (595)	176.2810144
01231308381 (596)	100
01231315782 (597)	100
01231300363 (598)	100
01231300185 (599)	209.007075
01231300364 (600)	272.0691861
01231315750 (601)	100
01231300237 (602)	267.0767755
01231300376 (603)	194.006006
01231316140 (604)	100
01227729687 (605)	100
01231315737 (606)	100
01227729586 (607)	237.5401385
01231300435 (608)	100
01231300084 (610)	259.3765011
01231307978 (611)	274.7102608
01231300149 (612)	100
01231316251 (613)	196.2811918
01231300302 (614)	100
01231321612 (615)	185.4425555
01231300087 (616)	281.2583914
01231307498 (617)	100
01231321662 (618)	250.177211
01231300077 (619)	192.3423781
01231316275 (620)	272.0691861
01231300402 (621)	100
01231308399 (622)	100
01231307227 (623)	285.3997313
01227728358 (624)	278.5331935
01231314986 (625)	100
01231300173 (626)	233.6566055
01231322535 (627)	161.7428803
01231300468 (628)	100
01231300372 (629)	185.8589316
01231307833 (630)	207.6451867
01227587455 (631)	100
01231300327 (632)	166.197276
01231300394 (633)	164.2990907
01231321672 (634)	100
01231315802 (636)	100
01227587583 (637)	185.4425555
01227588045 (638)	100
01231322504 (640)	175.6013398
01227722202 (642)	188.4827459
01231300070 (643)	100
01231321777 (644)	204.0235292
01231300065 (645)	100
01231307930 (646)	214.1088782
01231307502 (647)	100
01231308031 (648)	239.2045709
01231300027 (649)	108.9079369
01231307551 (650)	269.966865
01231307989 (651)	208.3889202
01231308087 (652)	100
01231321781 (653)	244.3999635
01231322256 (654)	116.6667225
01231308237 (655)	100
01231308327 (656)	100
01231300389 (658)	100
01231322341 (660)	236.9609708
01231300031 (661)	204.4955448
01231300425 (662)	175.0445516
01231315755 (663)	100
01231316488 (664)	100
01231322521 (666)	287.49267
01231316454 (667)	100
01231316159 (668)	100
01227587963 (669)	100
01231316516 (670)	100
01231315787 (671)	100
01231316455 (672)	100
01231322190 (673)	100
01231316417 (675)	100
01231322540 (676)	100
01231300239 (677)	100
01231300418 (680)	100
01231300521 (681)	100
01231307639 (682)	100
01227587255 (683)	100
01231322551 (684)	126.8799338
01231300180 (685)	100
01231316494 (686)	100
01231307204 (687)	198.1630636
01231322511 (688)	100
01231316389 (689)	100
01231307371 (690)	100
01231322475 (691)	100
01231307382 (692)	100
01231300055 (695)	100
01231322608 (696)	100
01231316301 (697)	100
01231300328 (698)	100
01231322236 (699)	100
01231306809 (701)	100
01231322464 (703)	199.8940095
01231322477 (704)	100
01231300345 (706)	100
01231322465 (707)	233.6566055
01231322574 (708)	200.875246
01231322604 (709)	297.0856494
01227587871 (710)	100
01231300269 (712)	100
01231322517 (713)	157.1020711
01231307890 (714)	100
01231300024 (715)	100
01231300493 (716)	100
01231308115 (717)	100
01231316244 (718)	307.7706936
01231308171 (719)	100
01231316299 (720)	100
01231322456 (721)	100
01231308202 (722)	100
01231322447 (723)	100
01231322373 (724)	100
01231300103 (725)	297.0856494
01231300332 (726)	197.6924751
01231322225 (727)	217.544742
01231321964 (729)	262.7052699
01231322609 (730)	100
01231321587 (731)	287.6553159
01227588029 (732)	208.2830327
01231322369 (733)	100
01231321696 (734)	126.5656518
01231321771 (735)	100
01231321775 (736)	297.3219859
01231321596 (737)	285.3997313
01231321473 (738)	221.8043682
01227587953 (739)	250.655869
01227587690 (740)	274.6997678
01231300204 (741)	250.177211
01231307540 (742)	100
01231322537 (743)	100
01227587378 (744)	133.7986556
01231321653 (745)	178.4861898
01227587916 (746)	280.853966
01231321637 (747)	165.7694358
01231307538 (748)	100
01231321784 (749)	242.0173323
01231321661 (751)	287.3364632
01231307697 (753)	278.5331935
01231300114 (754)	248.1461112
01231300211 (755)	151.8404357
01231307335 (756)	201.0521955
01231321774 (757)	100
01231321489 (758)	100
01231322478 (759)	100
01231322492 (760)	238.0192492
01231322662 (761)	277.3255215
01231322020 (762)	249.212944
01231322493 (763)	125.9887888
01231322675 (764)	147.6230393
01231322652 (765)	197.3853991
01231322991 (766)	100
01231315353 (767)	267.0767755
01231321939 (768)	309.1310975
01231322482 (769)	129.9175184
01231307444 (770)	100
01231315801 (771)	287.3364632
01231300350 (772)	100
01231300255 (773)	100
01231308132 (774)	100
01231308182 (775)	188.6281353
01227588020 (778)	100
01231321656 (779)	138.7873342
01231300383 (781)	100
01231321758 (782)	237.5401385
01231307949 (783)	100
01231321666 (784)	252.1088046
01231321648 (785)	100
01231321535 (786)	100
01231322681 (787)	100
01227588034 (788)	100
01231322648 (790)	100
01231322316 (791)	100
01231315513 (792)	100
01227588084 (793)	305.9428322
01231322253 (797)	100
01231300059 (798)	100
01227587462 (799)	185.4425555
01231321692 (801)	100
01227587908 (802)	100
01231307610 (803)	133.7986556
01231322659 (804)	220.3585512
01227587980 (805)	266.6252691
01231300254 (806)	276.7729778
01231300355 (807)	210.0179898
01227587226 (808)	100
01227587944 (810)	100
01231300050 (811)	188.0992123
01231308189 (812)	299.8321906
01231307529 (813)	236.4113954
01231308156 (814)	100
01231308125 (815)	168.3345407
01231300544 (816)	100
01231321729 (817)	100
01231308096 (818)	208.4615777
01231300315 (819)	228.1544952
01227728213 (820)	305.1724527
01227587724 (821)	100
01231307741 (822)	283.6409163
01231321705 (823)	234.5866776
01231300207 (824)	262.6113758
01227588035 (825)	100
01231300054 (826)	208.9184412
01227587590 (827)	274.7102608
01231321877 (828)	267.1633902
01231307433 (829)	198.4251457
01231300466 (830)	100
01227728263 (831)	166.8429077
01231322695 (832)	100
01231300047 (833)	168.3345407
01231322488 (834)	100
01231321698 (835)	100
01231322698 (836)	100
01231322457 (837)	270.1421316
01231307162 (838)	100
01231300280 (839)	177.6312787
01231316260 (840)	224.4442141
01227587933 (842)	239.6805401
01231321747 (843)	181.1284919
01231321741 (844)	180.065181
01231300478 (845)	292.3509517
01231316136 (846)	306.2558443
01231322473 (847)	131.7639618
01231300211 (848)	268.8329131
01231322536 (849)	224.4442141
01231300015 (850)	224.4442141
01231322476 (851)	268.8329131
01231308303 (852)	100
01231300384 (853)	100
01231321905 (854)	305.6470526
01231322525 (855)	306.2558443
01231322949 (856)	100
01231321135 (858)	198.0441225
01231308213 (859)	100
01231300213 (860)	100
01231322213 (862)	100
01231321567 (863)	281.2583914
01231321431 (864)	208.5171111
01231321602 (865)	100
01231321727 (866)	100
01231307548 (867)	200.1633752
01231307328 (868)	100
01231307161 (869)	100
01231307228 (870)	278.5331935
01227587506 (871)	289.9457378
01231307571 (872)	100
01227587618 (873)	295.24727
01227587853 (874)	281.2841848
01227587967 (875)	161.7428803
01227587985 (876)	327.7273599
01227587796 (878)	100
01231307086 (879)	100
01231307163 (882)	270.5302457
01227587214 (883)	100
01227587709 (884)	100
01227587912 (885)	306.2558443
01231307384 (886)	192.3423781
01231307581 (887)	100
01227587665 (888)	239.6805401
01231322558 (889)	269.8750405
01231322166 (890)	231.1035863
01231323035 (891)	198.8669294
01227501355 (892)	301.6632483
01231322446 (893)	264.665193
01231323038 (894)	268.6553722
01227716555 (895)	147.9807381
01231322941 (896)	243.552024
01231322972 (897)	248.1461112
01227509548 (898)	297.0856494
01231315983 (899)	143.5006344
01231300374 (900)	133.7986556
01231322704 (901)	258.983042
01231300339 (902)	100
01231316326 (903)	223.0137662
01231300413 (904)	100
01231300318 (905)	100
01231322169 (906)	100
01231322140 (907)	100
01231322244 (908)	100
01231322154 (909)	100
01231322229 (910)	100
01231322048 (911)	100
01231307028 (912)	100
01231322112 (913)	100
01231321998 (915)	100
01231322201 (916)	100
01231322047 (917)	100
01231322157 (918)	259.3765011
01231322252 (919)	100
01231321749 (920)	100
01231322159 (921)	100
01231322052 (922)	100
01231321851 (923)	100
01231321925 (924)	100
01231322109 (925)	100
01231300352 (927)	168.3345407
01231316249 (928)	100
01231322197 (929)	100
01231322259 (930)	100
01231322059 (931)	100
01231322214 (932)	100
01231321970 (933)	100
01231322134 (934)	100
01231322249 (935)	100
01231321560 (936)	100
01231322311 (937)	190.8806552
01227587960 (938)	300.5171236
01231307543 (939)	100
01231300165 (940)	177.6312787
01231322664 (941)	211.8031491
01231300209 (942)	239.1662121
01231307718 (943)	275.2272263
01227587862 (944)	100
01231322467 (945)	100
01231307229 (947)	205.1888556
01231321391 (948)	100
01231300296 (949)	100
01231307069 (950)	259.7221178
01231323046 (951)	100
01231307404 (952)	200.4605784
01227729172 (953)	233.6566055
01231322569 (954)	100
01227729186 (956)	100
01231300235 (957)	201.8689351
01231300406 (959)	157.1020711
01231300267 (960)	263.3943186
01227587028 (963)	271.2320169
01231300290 (964)	229.2065149
01231316265 (965)	178.3397999
01231307747 (966)	120.9201233
01227728394 (967)	171.8042747
01231323057 (968)	100
01231307389 (970)	100
01231307885 (971)	100
01231308121 (972)	274.7102608
01231307663 (974)	100
01231307411 (975)	100
01227588016 (977)	282.4767741
01231321597 (978)	161.7428803
01231322404 (979)	100
01231315797 (980)	100
01231307531 (982)	272.0691861
01231322526 (983)	281.2583914
01231307900 (984)	100
01231307724 (985)	100
01231307683 (986)	304.6284804
01231321881 (987)	100
01231316280 (989)	267.4852409
01231321838 (990)	238.0192492
01231307443 (991)	245.4781531
01231321420 (992)	281.2583914
01231307711 (993)	272.0691861
01231308173 (994)	226.2250232
01231321825 (995)	100
01231322580 (996)	100
01231307742 (997)	100
01231300044 (998)	203.6627717
01231322274 (999)	185.4425555
01231322592 (1000)	253.4446646
01231322874 (1001)	211.5697236
01231321409 (1002)	305.9479826
01231307826 (1003)	100
01231307721 (1004)	100
01231316297 (1005)	148.3549118
01231322381 (1006)	100
01231316229 (1007)	221.7137843
01231322962 (1008)	100
01231307633 (1009)	274.6046229
01231307933 (1010)	268.6756878
01231322549 (1011)	161.7428803
01231316292 (1012)	206.5062541
01231322531 (1014)	161.7428803
01231300312 (1015)	222.8813902
01231321740 (1016)	144.9796028
01231322954 (1017)	100
01231316393 (1018)	263.180112
01231307700 (1019)	220.3585512
01231321860 (1020)	224.0718316
01231316351 (1021)	303.2754411
01227587855 (1023)	100
01231321878 (1024)	270.5634884
01231316394 (1025)	296.0248829
01231321805 (1026)	304.8704016
01231316209 (1027)	168.8141489
01231320837 (1028)	298.6609478
01231300219 (1029)	265.392369
01231322422 (1030)	100
01231307998 (1031)	301.4740696
01231316191 (1032)	227.6796579
01231300234 (1034)	304.6284804
01231300094 (1036)	100
01231307655 (1038)	251.334445
01231300150 (1039)	139.4234954
01231300287 (1040)	192.3423781
01227588079 (1041)	259.3765011
01231300313 (1042)	100
01231300392 (1043)	100
01231300455 (1044)	100
01231321346 (1045)	100
01231300472 (1053)	100
01231300078 (1054)	272.3787323
01231300409 (1055)	198.4350072
01227587900 (1056)	198.4350072
01227723596 (1057)	182.8974973
01227587961 (1058)	100
01231316464 (1059)	100
01231323047 (1060)	100
01227728328 (1061)	100
01227587290 (1062)	100
01231316152 (1063)	119.1603159
01231307788 (1064)	292.7172004
01231307733 (1065)	245.4781531
01227588015 (1066)	182.8974973
01231316381 (1067)	100
01231307691 (1068)	100
01227587282 (1069)	247.876886
01231300400 (1070)	100
01231321895 (1071)	100
01231307417 (1072)	100
01231322391 (1073)	279.9642047
01231300125 (1074)	100
01231300457 (1075)	100
01231321721 (1076)	262.6113758
01231307398 (1078)	188.4827459
01231322534 (1079)	227.6796579
01231300229 (1080)	198.3379376
01231321887 (1081)	278.5331935
01227728227 (1082)	100
01231300224 (1083)	238.0192492
01231316480 (1084)	100
01227587897 (1085)	269.966865
01231323040 (1086)	227.7843779
01231308145 (1087)	229.9589632
01231300090 (1089)	100
01231300088 (1090)	259.5258961
01231321664 (1091)	100
01231300091 (1092)	180.7779689
01231300377 (1093)	201.0715511
01231300429 (1095)	100
01231316430 (1096)	100
01227587422 (1097)	224.5226151
01231307331 (1098)	100
01231307463 (1099)	174.8676103
01231321857 (1100)	164.9303655
01231322344 (1101)	100
01231307589 (1102)	100
01231307649 (1103)	100
01231308195 (1104)	100
01231316420 (1105)	100
01231322483 (1106)	242.8506969
01231316395 (1107)	175.8609394
01231307708 (1108)	100
01231321932 (1109)	220.1801018
01231322571 (1110)	100
01231322479 (1112)	100
01231322416 (1113)	250.177211
01231307653 (1114)	100
01231316148 (1115)	100
01231321821 (1116)	226.0409678
01231322667 (1117)	100
01231316415 (1118)	326.0516538
01231321538 (1119)	100
01231315956 (1120)	100
01231321812 (1121)	196.2811918
01231321711 (1122)	267.2538611
01231316300 (1123)	210.0179898
01231321475 (1124)	297.9626557
01231307488 (1125)	133.7986556
01231308036 (1127)	168.3345407
01231322905 (1129)	115.7545751
01231322791 (1130)	194.5403674
01227501238 (1131)	147.6230393
01231322469 (1133)	306.2558443
01227500255 (1134)	268.8329131
01231323000 (1135)	224.4442141
01231322996 (1136)	162.5509044
01231322984 (1137)	199.8940095
01231300262 (1138)	220.6586709
01231300310 (1139)	239.1662121
01231300341 (1140)	274.3413121
01231322843 (1141)	292.3509517
01227721278 (1142)	125.9887888
01227587489 (1143)	169.1865128
01231322414 (1144)	197.3853991
01231323004 (1145)	231.1035863
01231322981 (1146)	269.8750405
01227587360 (1147)	292.7172004
01231322903 (1148)	223.8089923
01231322729 (1149)	267.2981986
01231322861 (1150)	305.6470526
01231300342 (1151)	100
01231322757 (1152)	300.5171236
01231322944 (1153)	268.6756878
01231322586 (1154)	221.4014376
01231316360 (1155)	267.0767755
01231307714 (1156)	177.6312787
01227729678 (1157)	185.4425555
01227588031 (1158)	131.4266745
01231308309 (1159)	157.1020711
01231316293 (1160)	100
01227587354 (1161)	242.0173323
01231308276 (1163)	233.6566055
01231321682 (1164)	100
01231300196 (1165)	165.7694358
01227588043 (1166)	100
01231307776 (1167)	100
01231300025 (1169)	212.7151069
01231307525 (1170)	121.5991199
01231300265 (1171)	242.0173323
01227587194 (1172)	251.169228
01231323008 (1174)	100
01231321331 (1175)	100
01231300183 (1176)	223.1644148
01231300273 (1177)	287.3364632
01231321744 (1178)	163.6066552
01231300258 (1179)	303.0869365
01227587739 (1180)	223.0137662
01231308347 (1181)	274.7102608
01231307490 (1182)	100
01227587847 (1183)	200.1633752
01231300029 (1184)	208.5171111
01231323064 (1185)	220.3585512
0123132284 (1186)	100
01227587499 (1187)	100
01231322470 (1188)	260.7261153
01231300340 (1189)	274.6997678
01231322999 (1190)	301.6632483
01231322655 (1191)	100
01227587926 (1192)	100
01231300206 (1193)	100
01231300335 (1195)	303.2754411
01231316161 (1196)	100
01227587882 (1197)	234.4429842
01231316479 (1198)	100
01231307632 (1199)	233.6566055
01231307549 (1200)	157.1020711
01231307532 (1201)	100
01231321588 (1202)	100
01231320793 (1203)	122.7803643
01227729653 (1204)	305.6470526
01231321839 (1205)	217.4285938
01231321114 (1206)	279.8226558
01231321875 (1207)	287.49267
01227587763 (1208)	100
01231300223 (1209)	100
01231316460 (1210)	100
01227587907 (1211)	100
01231316402 (1212)	100
01231307608 (1213)	306.7626439
01231321507 (1214)	100
01231321836 (1216)	100
01231300096 (1217)	246.0078921
01231316436 (1218)	100
01231300004 (1219)	216.4239674
01231321376 (1220)	187.0837849
01231316004 (1221)	177.6312787
01231307568 (1222)	100
01227587848 (1223)	100
01231316530 (1224)	100
01231315934 (1225)	239.6805401
01231321843 (1226)	318.7946968
01231307559 (1227)	100
01231300099 (1228)	100
01231322507 (1229)	248.3683125
01227727979 (1230)	185.4425555
01227587737 (1231)	100
01231321903 (1232)	223.2623409
01227587901 (1233)	200.2906069
01231307291 (1234)	100
01231307617 (1235)	100
01227713041 (1236)	276.7729778
01227587844 (1237)	267.2981986
01231307530 (1238)	300.5171236
01227729425 (1239)	100
01231307409 (1240)	100
01227587887 (1241)	100
01227587468 (1242)	270.5634884
01231307577 (1243)	100
01231300140 (1244)	100
01231321699 (1246)	100
01227728192 (1247)	100
01227587949 (1248)	100
01231321429 (1249)	100
01231307590 (1250)	291.9980471
01227587782 (1251)	100
01231300174 (1252)	265.6711017
01231322878 (1253)	239.6805401
01231300203 (1254)	177.6312787
01231322668 (1255)	133.7986556
01231300306 (1256)	168.3345407
01231321206 (1257)	227.3370579
01231321446 (1258)	222.8813902
01231321544 (1259)	203.785257
01231308151 (1260)	100
01231300347 (1261)	100
01231323049 (1262)	100
01231322527 (1263)	297.0856494
01227587818 (1264)	100
01227587815 (1266)	100
01231307892 (1267)	169.1865128
01227587407 (1268)	151.8404357
01231322918 (1269)	226.4264104
01227587927 (1270)	100
01231308172 (1271)	245.4781531
01231300074 (1272)	233.6566055
01227723518 (1273)	274.7102608
01231308199 (1274)	192.3423781
01231308186 (1275)	292.7172004
01231308178 (1276)	259.3765011
01231321514 (1277)	283.9152837
01227587950 (1278)	100
01227587678 (1279)	133.7986556
01227587920 (1280)	168.3345407
01227588005 (1281)	192.3423781
01227587891 (1282)	259.3765011
01231308158 (1284)	100
01227728122 (1285)	259.3765011
01231321683 (1286)	269.966865
01227587913 (1287)	251.334445
01227587670 (1288)	100
01227587973 (1289)	292.7172004
01227587990 (1290)	100
01231307937 (1293)	323.4786807
01231307750 (1294)	239.6805401
01231321530 (1295)	200.3860875
01231307606 (1296)	100
01231321459 (1297)	251.0525093
01231321430 (1298)	100
01227588040 (1299)	301.4740696
01227587444 (1300)	270.6404306
01231322491 (1301)	216.29732
01231322452 (1302)	205.908148
01231300390 (1303)	100
01231321521 (1304)	256.2850954
01221321521 (1305)	256.2850954
01231321410 (1306)	306.7626439
01231300433 (1307)	100
01231316328 (1308)	305.6470526
01231316487 (1309)	100
01227724303 (1310)	259.3765011
01227587778 (1311)	267.4852409
01231316200 (1312)	267.2981986
01231307273 (1313)	209.6812551
01231307817 (1314)	166.7172224
01231300487 (1315)	100
01231307965 (1316)	100
01231315609 (1317)	133.7986556
01231315829 (1319)	168.3345407
01231307340 (1320)	216.6578864
01227587605 (1321)	100
01227586971 (1322)	100
01231307596 (1323)	229.9589632
01231316448 (1324)	100
01231307916 (1325)	242.8506969
01231316335 (1326)	265.392369
01231316346 (1328)	304.6284804
01231307434 (1329)	250.177211
01231315963 (1330)	250.177211
01231316461 (1331)	100
01231316132 (1332)	253.1140524
01231321243 (1333)	100
01231321506 (1334)	100
01231300311 (1335)	224.8629188
01231316321 (1336)	306.379542
01231316158 (1337)	269.9318247
01231307636 (1338)	250.177211
01231316485 (1339)	224.7346789
01231322644 (1340)	174.9098891
01231307348 (1341)	185.4425555
01231300343 (1342)	157.1020711
01227721622 (1343)	233.6566055
01231322658 (1345)	100
01231322284 (1346)	192.3423781
01231322589 (1347)	259.3765011
01231322546 (1348)	245.4781531
01231322688 (1349)	292.7172004
01231315834 (1350)	100
01231315882 (1351)	100
01231322623 (1352)	100
01231322699 (1353)	100
01231321985 (1354)	185.4425555
01231322575 (1355)	250.177211
01231308098 (1356)	229.9589632
01231307233 (1357)	242.8506969
01231307422 (1358)	228.747302
01231307616 (1359)	185.4425555
01231322711 (1360)	213.9677339
01231315792 (1361)	203.785257
01231315992 (1362)	274.7102608
